# r.topmodel output file for EW2Walk
# Run time: 2016-11-21 12:55:31
#
# Qt_peak [m^3/timestep]:  Peak total flow
# tt_peak [timestep]:      Peak time for total flow
# Qt_mean [m^3/timestep]:  Mean total flow
# lnTe [ln(m^2/timestep)]: ln of the average transmissivity at the soil surface
# vch [m/timestep]:        Main channel routing velocity
# vr [m/timestep]:         Internal subcatchment routing velocity
# lambda [ln(m^2)]:        Average topographic index
# qss [m/timestep]:        Saturated subsurface flow per unit area
# qs0 [m/timestep]:        Initial subsurface flow per unit area
# ntopidxclasses:          Number of topographic index classes
# dt [h]:                  Time step
# ntimesteps:              Number of time steps
# nch:                     Number of channel segments
# delay [timestep]:        Routing delay in the main channel
# tc [timestep]:           Time of concentration
# tcsub [timestep]:        Time of concentration in the subcatchment
#
# tch [timestep]:          Routing time to the catchment outlet
# Ad [m^2]:                Difference in the contribution area
# Qt [m^3/timestep]:       Total flow
# qt [m/timestep]:         Total flow per unit area
# qo [m/timestep]:         Saturated overland flow per unit area
# qs [m/timestep]:         Subsurface flow per unit area
# qv [m/timestep]:         Vertical drainage flux from unsaturated zone
# S_mean [m]:              Mean saturation deficit

Qt_peak:         1.214e+06
tt_peak:               358
Qt_mean:         3.502e+04
lnTe:            5.178e+00
vch:             4.800e+05
vr:              2.400e+05
lambda:          7.356e+00
qss:             1.133e-01
qs0:             1.800e-03
ntopidxclasses:         30
dt:              2.400e+01
ntimesteps:            730
nch:                    11
delay:                   0
tc:                      1
tcsub:                   1

       tch
 0.000e+00
 6.300e-03
 1.260e-02
 1.890e-02
 2.520e-02
 3.150e-02
 3.780e-02
 4.410e-02
 5.040e-02
 5.670e-02
 6.300e-02

        Ad
 2.329e+07

  timestep         Qt         qt         qo         qs         qv     S_mean
        71  8.299e+03  3.563e-04  0.000e+00  3.563e-04  0.000e+00  3.493e-02
        72  7.821e+03  3.358e-04  0.000e+00  3.358e-04  0.000e+00  3.526e-02
        73  7.395e+03  3.175e-04  0.000e+00  3.175e-04  0.000e+00  3.558e-02
        74  7.549e+03  3.241e-04  2.296e-05  3.011e-04  4.743e-03  3.114e-02
        75  1.662e+04  7.135e-04  8.205e-05  6.314e-04  7.198e-03  2.457e-02
        76  4.423e+04  1.899e-03  1.263e-05  1.886e-03  5.431e-04  2.592e-02
        77  3.512e+04  1.508e-03  0.000e+00  1.508e-03  0.000e+00  2.742e-02
        78  2.836e+04  1.218e-03  4.478e-05  1.173e-03  3.202e-03  2.540e-02
        79  3.840e+04  1.649e-03  3.745e-06  1.645e-03  2.915e-04  2.675e-02
        80  3.149e+04  1.352e-03  3.934e-05  1.313e-03  2.623e-03  2.544e-02
        81  6.493e+04  2.788e-03  1.155e-03  1.633e-03  1.572e-02  1.135e-02
        82  4.391e+05  1.885e-02  1.761e-03  1.709e-02  6.116e-03  2.233e-02
        83  6.389e+04  2.743e-03  0.000e+00  2.743e-03  0.000e+00  2.507e-02
        84  4.045e+04  1.737e-03  0.000e+00  1.737e-03  0.000e+00  2.681e-02
        85  3.028e+04  1.300e-03  0.000e+00  1.300e-03  0.000e+00  2.811e-02
        86  2.438e+04  1.047e-03  0.000e+00  1.047e-03  0.000e+00  2.915e-02
        87  2.048e+04  8.793e-04  0.000e+00  8.793e-04  0.000e+00  3.003e-02
        88  1.769e+04  7.594e-04  0.000e+00  7.594e-04  0.000e+00  3.079e-02
        89  1.558e+04  6.691e-04  0.000e+00  6.691e-04  0.000e+00  3.146e-02
        90  1.394e+04  5.985e-04  0.000e+00  5.985e-04  0.000e+00  3.206e-02
        91  1.262e+04  5.417e-04  0.000e+00  5.417e-04  0.000e+00  3.260e-02
        92  1.153e+04  4.949e-04  0.000e+00  4.949e-04  0.000e+00  3.310e-02
        93  1.061e+04  4.557e-04  0.000e+00  4.557e-04  0.000e+00  3.355e-02
        94  9.838e+03  4.224e-04  0.000e+00  4.224e-04  0.000e+00  3.397e-02
        95  9.169e+03  3.937e-04  0.000e+00  3.937e-04  0.000e+00  3.437e-02
        96  8.587e+03  3.687e-04  0.000e+00  3.687e-04  0.000e+00  3.474e-02
        97  8.075e+03  3.467e-04  0.000e+00  3.467e-04  0.000e+00  3.508e-02
        98  7.622e+03  3.272e-04  0.000e+00  3.272e-04  0.000e+00  3.541e-02
        99  7.217e+03  3.099e-04  0.000e+00  3.099e-04  0.000e+00  3.572e-02
       100  6.854e+03  2.943e-04  0.000e+00  2.943e-04  0.000e+00  3.602e-02
