,dates,GHRain,GHTemp
363,2013-12-29,0.0006205184,4.7139892578
364,2013-12-30,0.0134369368,7.5616149902
365,2013-12-31,0.00383601,6.2333984375
366,2014-01-01,0.0128755915,7.5660400391
367,2014-01-02,0.0012966993,6.8244934082
368,2014-01-03,0.0022007176,6.680480957
369,2014-01-04,0.0056363014,4.6993408203
370,2014-01-05,0.0088214852,5.6160583496
371,2014-01-06,0.0047442473,8.4905090332
372,2014-01-07,0.0014569603,7.9468688965
373,2014-01-08,0.0038290815,7.5336303711
374,2014-01-09,0.004524719,6.1465454102
375,2014-01-10,0.0026560369,6.1347351074
376,2014-01-11,0.0001755017,3.6965026855
377,2014-01-12,0.0052145874,3.1229553223
378,2014-01-13,0.0008269211,5.361541748
379,2014-01-14,0.00321938,4.1605834961
380,2014-01-15,0.0084353407,8.9999389648
381,2014-01-16,0.0001424425,6.2948608398
382,2014-01-17,0.0015631978,5.5522460938
383,2014-01-18,0.0041168741,6.1917419434
384,2014-01-19,0.0023109628,4.8104248047
385,2014-01-20,0,2.8754577637
386,2014-01-21,0.0075701385,4.1161193848
387,2014-01-22,0.0005795512,6.2096557617
388,2014-01-23,0.0025058737,4.7797241211
389,2014-01-24,0.0096328373,5.6142578125
390,2014-01-25,0.0038295407,6.9387817383
391,2014-01-26,0.0148519387,4.6763916016
392,2014-01-27,0.0049022576,4.3106079102
393,2014-01-28,0.0085552166,5.7313537598
394,2014-01-29,0.0037613021,4.5426330566
395,2014-01-30,0,2.2971191406
396,2014-01-31,0.0114683169,4.1271057129
397,2014-02-01,0.00334584,5.3835449219
398,2014-02-02,0.0001622376,6.537902832
399,2014-02-03,0.0026775532,6.0661621094
400,2014-02-04,0.0036770546,5.2081604004
401,2014-02-05,0.0087592835,6.7854003906
402,2014-02-06,0.0083598495,6.7257080078
403,2014-02-07,0.0067523849,5.2942810059
404,2014-02-08,0.0065248942,6.6495056152
405,2014-02-09,0.0040385807,5.496673584
406,2014-02-10,0.0008301663,3.5541687012
407,2014-02-11,0.0055515214,3.739074707
408,2014-02-12,0.012840292,4.4220581055
409,2014-02-13,0,4.464263916
410,2014-02-14,0.0116290616,5.6468811035
411,2014-02-15,0.0069492972,5.9719543457
412,2014-02-16,0,5.2210998535
413,2014-02-17,0.0053356203,6.9260864258
414,2014-02-18,0.0001617705,7.5541992188
415,2014-02-19,0.0029315893,8.1962585449
416,2014-02-20,0.0033168662,8.3547973633
417,2014-02-21,0.0010609765,5.471862793
418,2014-02-22,0,7.3632202148
419,2014-02-23,0.001328844,10.2472229004
420,2014-02-24,0.0041255733,9.0589294434
421,2014-02-25,0.0010740635,7.3364257813
422,2014-02-26,0.0005521328,6.7183227539
423,2014-02-27,0.0052603184,6.3743896484
424,2014-02-28,0.0008572029,4.2333374023
425,2014-03-01,0.0002363662,4.1451416016
426,2014-03-02,0.0121686727,7.2555541992
427,2014-03-03,0.0013709365,4.3842773438
428,2014-03-04,0.0003420809,5.5522460938
429,2014-03-05,0,6.3545227051
430,2014-03-06,0.0009463365,9.0252380371
431,2014-03-07,0.0060327197,8.7678833008
432,2014-03-08,0,9.2890014648
433,2014-03-09,0,10.9119873047
434,2014-03-10,0,8.0882263184
435,2014-03-11,0,5.9952697754
436,2014-03-12,0,7.134552002
437,2014-03-13,0,6.8774719238
438,2014-03-14,0,7.2954711914
439,2014-03-15,0,9.6593933105
440,2014-03-16,0,8.9272766113
441,2014-03-17,0,8.3771972656
442,2014-03-18,0.0031747697,8.8795471191
443,2014-03-19,0,9.5770263672
444,2014-03-20,0.0062673449,7.8071899414
445,2014-03-21,0.0035498858,6.6417541504
446,2014-03-22,0.0019570455,4.6050109863
447,2014-03-23,0.0025963802,5.1983032227
448,2014-03-24,0.0008395857,5.1643371582
449,2014-03-25,0.0061044793,7.2353515625
450,2014-03-26,0.0007376662,5.5048828125
451,2014-03-27,0.0017883976,5.1579284668
452,2014-03-28,0.0041075865,6.8378295898
453,2014-03-29,0.0016261319,10.6961669922
454,2014-03-30,0,13.2155456543
455,2014-03-31,0.0072108195,12.5858764648
456,2014-04-01,0.0004642945,10.6896362305
457,2014-04-02,0.0039466229,12.1019287109
458,2014-04-03,0.0067950622,12.2116699219
459,2014-04-04,0.0023360848,10.2989196777
460,2014-04-05,0.0033394703,10.8394165039
461,2014-04-06,0.0016507343,12.1585998535
462,2014-04-07,0.0042278949,9.859954834
